,scenario_id,var_vector,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
212,G_009,Consequentialist,unweighted,1.0,0.85,0.8666666666666667,0.01666666666666672
213,G_312,Consequentialist,unweighted,1.0,0.9500000000000001,0.9166666666666666,-0.03333333333333344
214,G_044,Consequentialist,unweighted,1.0,0.4000000000000001,0.44999999999999996,0.04999999999999988
215,H_027,Consequentialist,unweighted,1.0,0.65,0.7833333333333333,0.1333333333333333
216,G_195,Consequentialist,unweighted,1.0,0.21666666666666665,0.26666666666666666,0.05000000000000002
217,G_347,Consequentialist,unweighted,1.0,0.6666666666666666,0.5499999999999999,-0.1166666666666667
218,G_149,Consequentialist,unweighted,1.0,0.7333333333333334,0.6666666666666666,-0.06666666666666676
219,G_179,Consequentialist,unweighted,1.0,0.11666666666666665,0.09999999999999999,-0.016666666666666663
220,G_255,Consequentialist,unweighted,1.0,0.5499999999999999,0.4833333333333334,-0.06666666666666654
221,G_113,Consequentialist,unweighted,1.0,0.75,0.8000000000000002,0.050000000000000155
222,G_458,Consequentialist,unweighted,1.0,0.0,0.0,0.0
223,H_002,Consequentialist,unweighted,1.0,0.016666666666666666,0.016666666666666666,0.0
224,G_199,Consequentialist,unweighted,2.0,0.9333333333333332,0.9499999999999998,0.016666666666666607
225,G_269,Consequentialist,unweighted,2.0,0.20000000000000004,0.2833333333333333,0.08333333333333329
226,G_523,Consequentialist,unweighted,2.0,0.9,0.9166666666666666,0.016666666666666607
227,G_123,Consequentialist,unweighted,2.0,0.30000000000000004,0.4666666666666666,0.16666666666666657
228,G_104,Consequentialist,unweighted,2.0,0.049999999999999996,0.06666666666666667,0.01666666666666667
229,H_088,Consequentialist,unweighted,2.0,0.2333333333333333,0.2333333333333333,0.0
230,G_592,Consequentialist,unweighted,2.0,0.8166666666666668,0.7833333333333333,-0.03333333333333344
231,H_087,Consequentialist,unweighted,2.0,0.65,0.7000000000000001,0.050000000000000044
232,G_114,Consequentialist,unweighted,2.0,0.4833333333333334,0.5499999999999999,0.06666666666666654
233,G_240,Consequentialist,unweighted,2.0,0.5254385964912281,0.5833333333333334,0.05789473684210522
234,G_275,Consequentialist,unweighted,2.0,0.15000000000000002,0.15,-2.7755575615628914e-17
235,H_093,Consequentialist,unweighted,2.0,0.36666666666666664,0.43333333333333335,0.06666666666666671
236,H_023,Consequentialist,unweighted,2.0,0.03333333333333333,0.18333333333333335,0.15000000000000002
237,G_227,Consequentialist,unweighted,2.0,0.8166666666666668,0.8000000000000002,-0.016666666666666607
238,H_084,Consequentialist,unweighted,2.0,0.9500000000000001,0.9500000000000001,0.0
239,G_109,Consequentialist,unweighted,2.0,0.3,0.4166666666666667,0.1166666666666667
240,G_438,Consequentialist,unweighted,2.0,0.0,0.03333333333333333,0.03333333333333333
241,G_401,Consequentialist,unweighted,2.0,0.75,0.7666666666666666,0.016666666666666607
242,G_482,Consequentialist,unweighted,2.0,0.2333333333333333,0.4666666666666666,0.2333333333333333
243,G_163,Consequentialist,unweighted,2.0,0.9500000000000001,0.8333333333333334,-0.1166666666666667
