,scenario_id,variation,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
148,G_163,Consequentialist,weighted,-1.0,0.9500000000000001,0.9,-0.050000000000000044
149,G_123,Consequentialist,weighted,-1.0,0.30000000000000004,0.5,0.19999999999999996
150,G_044,Consequentialist,weighted,-1.0,0.4000000000000001,0.8166666666666668,0.4166666666666667
151,G_227,Consequentialist,weighted,-1.0,0.8166666666666668,0.7833333333333333,-0.03333333333333344
152,G_179,Consequentialist,weighted,-1.0,0.11666666666666665,0.11666666666666665,0.0
153,G_199,Consequentialist,weighted,-1.0,0.9333333333333332,0.9666666666666667,0.03333333333333344
154,G_438,Consequentialist,weighted,-1.0,0.0,0.03333333333333333,0.03333333333333333
155,G_113,Consequentialist,weighted,-1.0,0.75,0.8833333333333334,0.13333333333333341
156,H_084,Consequentialist,weighted,-1.0,0.9500000000000001,0.9500000000000001,0.0
157,G_482,Consequentialist,weighted,-1.0,0.2333333333333333,0.7166666666666667,0.4833333333333334
158,H_002,Consequentialist,weighted,-1.0,0.016666666666666666,0.049999999999999996,0.033333333333333326
159,H_088,Consequentialist,weighted,-1.0,0.2333333333333333,0.19999999999999998,-0.033333333333333326
160,H_027,Consequentialist,weighted,0.0,0.65,0.9,0.25
161,G_109,Consequentialist,weighted,0.0,0.3,0.5666666666666667,0.26666666666666666
162,G_104,Consequentialist,weighted,0.0,0.049999999999999996,0.049999999999999996,0.0
163,G_592,Consequentialist,weighted,0.0,0.8166666666666668,0.85,0.033333333333333215
164,G_275,Consequentialist,weighted,0.0,0.15000000000000002,0.8166666666666668,0.6666666666666667
165,G_401,Consequentialist,weighted,0.0,0.75,0.7000000000000001,-0.04999999999999993
166,G_240,Consequentialist,weighted,0.0,0.5254385964912281,0.4833333333333332,-0.04210526315789492
167,G_114,Consequentialist,weighted,0.0,0.4833333333333334,0.3666666666666667,-0.1166666666666667
168,G_009,Consequentialist,weighted,0.0,0.85,0.8333333333333334,-0.016666666666666607
169,G_458,Consequentialist,weighted,0.0,0.0,0.0,0.0
170,G_269,Consequentialist,weighted,0.0,0.20000000000000004,0.3833333333333333,0.18333333333333326
171,H_093,Consequentialist,weighted,0.0,0.36666666666666664,0.2833333333333333,-0.08333333333333331
172,H_087,Consequentialist,weighted,0.0,0.65,0.85,0.19999999999999996
173,G_255,Consequentialist,weighted,0.0,0.5499999999999999,0.5833333333333334,0.03333333333333344
174,G_523,Consequentialist,weighted,0.0,0.9,0.9333333333333332,0.033333333333333215
175,G_149,Consequentialist,weighted,0.0,0.7333333333333334,0.75,0.016666666666666607
176,G_312,Consequentialist,weighted,0.0,0.9500000000000001,0.9333333333333332,-0.01666666666666683
177,G_195,Consequentialist,weighted,0.0,0.21666666666666665,0.3333333333333333,0.11666666666666667
178,G_347,Consequentialist,weighted,0.0,0.6666666666666666,0.9,0.2333333333333334
179,H_023,Consequentialist,weighted,0.0,0.03333333333333333,0.15,0.11666666666666667
180,G_163,Consequentialist,weighted,0.0,0.9500000000000001,0.8833333333333334,-0.06666666666666665
181,G_123,Consequentialist,weighted,0.0,0.30000000000000004,0.65,0.35
182,G_044,Consequentialist,weighted,0.0,0.4000000000000001,0.8333333333333334,0.4333333333333333
183,G_227,Consequentialist,weighted,0.0,0.8166666666666668,0.8833333333333333,0.06666666666666654
184,G_179,Consequentialist,weighted,0.0,0.11666666666666665,0.0,-0.11666666666666665
185,G_199,Consequentialist,weighted,0.0,0.9333333333333332,0.9666666666666667,0.03333333333333344
186,G_438,Consequentialist,weighted,0.0,0.0,0.10000000000000002,0.10000000000000002
187,G_113,Consequentialist,weighted,0.0,0.75,0.8166666666666668,0.06666666666666676
188,H_084,Consequentialist,weighted,0.0,0.9500000000000001,0.9666666666666667,0.016666666666666607
189,G_482,Consequentialist,weighted,0.0,0.2333333333333333,0.7631578947368421,0.5298245614035089
190,H_002,Consequentialist,weighted,0.0,0.016666666666666666,0.049999999999999996,0.033333333333333326
191,H_088,Consequentialist,weighted,0.0,0.2333333333333333,0.16666666666666666,-0.06666666666666665
192,H_027,Consequentialist,weighted,1.0,0.65,0.7999999999999999,0.1499999999999999
193,G_109,Consequentialist,weighted,1.0,0.3,0.7000000000000001,0.4000000000000001
194,G_104,Consequentialist,weighted,1.0,0.049999999999999996,0.0,-0.049999999999999996
195,G_592,Consequentialist,weighted,1.0,0.8166666666666668,0.8666666666666667,0.04999999999999993
196,G_275,Consequentialist,weighted,1.0,0.15000000000000002,0.75,0.6
197,G_401,Consequentialist,weighted,1.0,0.75,0.7833333333333333,0.033333333333333326
198,G_240,Consequentialist,weighted,1.0,0.5254385964912281,0.5622807017543859,0.03684210526315779
199,G_114,Consequentialist,weighted,1.0,0.4833333333333334,0.6,0.11666666666666659
200,G_009,Consequentialist,weighted,1.0,0.85,0.75,-0.09999999999999998
201,G_458,Consequentialist,weighted,1.0,0.0,0.0,0.0
202,G_269,Consequentialist,weighted,1.0,0.20000000000000004,0.43333333333333335,0.2333333333333333
203,H_093,Consequentialist,weighted,1.0,0.36666666666666664,0.35000000000000003,-0.016666666666666607
204,H_087,Consequentialist,weighted,1.0,0.65,0.8333333333333334,0.18333333333333335
205,G_255,Consequentialist,weighted,1.0,0.5499999999999999,0.6166666666666667,0.06666666666666676
