model_id,variation,mean_cps,std_cps,n,t_stat,p_value,cohen_d,flip_rate,positive_shift_rate,negative_shift_rate,zero_shift_rate,average_positive_shift,average_negative_shift,wilcoxon_stat,wilcoxon_p_value,ci_lower,ci_upper,ci_mean,ci_std,boundary_mass,family,color
openai_gpt-4.1,Emotional,0.11914578986021981,0.22888844552867363,138,6.11497061222944,4.7422428365769564e-09,0.5205408669058134,0.16666666666666666,0.5,0.13043478260869565,0.3695652173913043,0.26348217295069726,-0.09656394071598749,3425.0,7.9884721966647e-11,0.08195040963505344,0.15852710606023918,0.11904299817228664,0.019483054406997838,0.057971014492753624,GPT,gray
openai_gpt-4.1-mini,Emotional,0.06497584541062802,0.15329960825391825,138,4.979095280200552,9.444174801096252e-07,0.4238487374540781,0.07971014492753623,0.5,0.13043478260869565,0.3695652173913043,0.15169082125603864,-0.08333333333333331,3215.5,1.8010006888178204e-08,0.04142512077294686,0.09082427536231881,0.06479667874396135,0.012677942154425892,0.043478260869565216,GPT,gray
deepseek_deepseek-llm-7b-chat,Consequentialist,0.06079926934787269,0.12714268132159956,269,7.843016598625007,5.239615635274749e-14,0.47819716177044197,0.11895910780669144,0.654275092936803,0.3420074349442379,0.0037174721189591076,0.1258057683497013,-0.06290012798880076,26984.5,8.57106684195002e-13,0.04563865117234365,0.07563463194500848,0.06074462903821916,0.007732564465208778,0.21933085501858737,DeepSeek,gray
qwen_qwen3-8b,Consequentialist,0.1359453466379704,0.21189660171267655,269,10.522440887138952,3.348252139577653e-22,0.6415645439293403,0.20817843866171004,0.5687732342007435,0.10780669144981413,0.32342007434944237,0.2554752895310171,-0.0868421052631579,15157.0,4.081174117693074e-22,0.11120075979912607,0.16098284745320549,0.13570802680493055,0.012790662485272596,0.08550185873605948,Qwen,gray
qwen_qwen3-4b-instruct,Consequentialist,0.09929191007257922,0.2055326628636559,269,7.923355761045515,3.108577486205631e-14,0.4830955269549855,0.11895910780669144,0.4052044609665427,0.07806691449814127,0.516728624535316,0.27217125382262997,-0.14081632653061224,7571.0,6.7048295063460466e-15,0.07587117188882986,0.12457094175960345,0.09926780315100019,0.01256876568031625,0.04460966542750929,Qwen,gray
qwen_qwen2-7b-instruct,Consequentialist,0.12533947425358108,0.19799081423956327,269,10.38290707065863,9.523703645005255e-22,0.6330570169882925,0.1449814126394052,0.654275092936803,0.10408921933085502,0.241635687732342,0.19999802220196958,-0.052976190476190475,19158.5,3.163868502439089e-25,0.10216184047479293,0.1494268120735544,0.12532237070371094,0.01205889962105397,0.07434944237918216,Qwen,gray
qwen_qwen1.5-7b-chat,Consequentialist,0.09594768055369182,0.15295048537440797,269,10.288682394467699,1.9229778390935655e-21,0.6273120370871736,0.15985130111524162,0.620817843866171,0.14869888475836432,0.23048327137546468,0.17111632352844974,-0.06916249900770023,18901.5,2.0288912706166033e-21,0.07814954548326629,0.11418090044310376,0.09584859812143481,0.009307153732967855,0.1970260223048327,Qwen,gray
teknium_openhermes-2.5-mistral-7b,Consequentialist,0.1273002098511093,0.1714466234125737,269,12.178009915777888,9.478967976493161e-28,0.7425063691384035,0.20074349442379183,0.7695167286245354,0.1821561338289963,0.048327137546468404,0.18196784151974774,-0.0698691172375383,29045.5,1.1631072822082172e-26,0.10727641724095449,0.1482475466218575,0.127355527750177,0.010529536325719874,0.1412639405204461,Mistral,gray
mistral_mixtral-8x7b-instruct_8bit,Consequentialist,0.10750386812355231,0.20489875953493916,269,8.605198677787728,3.275161291115442e-16,0.5246682233096723,0.137546468401487,0.4052044609665427,0.06691449814126393,0.5278810408921933,0.28338620861627656,-0.10947534521880926,7532.0,3.547083277715669e-17,0.08358098831830878,0.1319668364511523,0.10763397720804524,0.012412982557095269,0.055762081784386616,Mistral,gray
mistral_mistral-7b-instruct-v0.1,Consequentialist,0.07685078659490828,0.13466617341043502,269,9.35978639046999,1.6832059943312638e-18,0.5706762481524055,0.1821561338289963,0.6765799256505576,0.31970260223048325,0.0037174721189591076,0.13938408584306416,-0.05459351196985297,28369.5,1.8737427419651277e-16,0.061339464957101957,0.09320654411183273,0.07695349081701319,0.00809431467846189,0.24907063197026022,Mistral,gray
huggingfaceh4_zephyr-7b-beta,Consequentialist,0.14196909587186612,0.1950909537492206,269,11.93528584569238,6.401750764049151e-27,0.7277072213935665,0.19330855018587362,0.7286245353159851,0.16728624535315986,0.10408921933085502,0.2086746285830525,-0.06023423139436211,26431.0,3.7760243750009494e-28,0.11942501820831217,0.16557273868879746,0.14190744519535706,0.011843446401843497,0.13382899628252787,Mistral,gray
meta_llama-3.1-8B-instruct,Consequentialist,0.09418211990115727,0.14386879616278817,269,10.73687734625136,6.644635839866884e-23,0.6546389655932743,0.10780669144981413,0.6840148698884758,0.1970260223048327,0.11895910780669144,0.1530029027883719,-0.05316120489904005,24454.0,5.709221705219805e-23,0.0772154467126097,0.11175541859605644,0.09412790817916332,0.008813607500628949,0.10408921933085502,Llama,gray
meta_llama-3.1-70b-instruct,Consequentialist,0.09800385452985956,0.17904301199593053,269,8.977634529398228,2.499100950815247e-17,0.5473760379549865,0.08921933085501858,0.6654275092936803,0.21561338289962825,0.11895910780669144,0.1704184236540637,-0.07141139595767544,23585.0,1.398403481499442e-19,0.07683477987452549,0.11997433362288001,0.09791702441831074,0.010975361455464058,0.05947955390334572,Llama,gray
meta_llama-3-8B-instruct,Consequentialist,0.10348291791603219,0.15544838043427472,269,10.918390034492369,1.6739589605319175e-23,0.6657059895184041,0.17100371747211895,0.6877323420074349,0.1449814126394052,0.16728624535315986,0.16364503686485113,-0.06249812565602037,22423.0,2.3275495354427967e-24,0.08456193232836316,0.12195971467115307,0.10339043383170751,0.009523648735473423,0.16356877323420074,Llama,gray
meta_llama-2-7b-chat,Consequentialist,0.020416033490774237,0.1514560138331669,269,2.210858700491944,0.01394509723258852,0.13479843404081054,0.17843866171003717,0.5539033457249071,0.3903345724907063,0.055762081784386616,0.1220161446167638,-0.12084278608456703,19407.0,0.00304665303132148,0.0022893632118760766,0.03807054961979246,0.020350513456238433,0.009170559167361094,0.2825278810408922,Llama,gray
deepseek-ai_DeepSeek-V3,Consequentialist,0.10495989043240071,0.1965758492659697,269,8.75728226344767,1.1533240503003933e-16,0.5339409231822196,0.137546468401487,0.49070631970260226,0.07806691449814127,0.4312267657992565,0.23144603934077618,-0.11031746031746029,10669.0,1.5927320204886737e-18,0.08197197221678731,0.1290615013369856,0.10487150166307962,0.011883910231136495,0.048327137546468404,DeepSeek,gray
deepseek-ai_DeepSeek-V3.1,Consequentialist,0.09288462792669405,0.1362869073877419,269,11.178044882835604,2.2956967974361802e-24,0.6815374250325706,0.10408921933085502,0.6951672862453532,0.15985130111524162,0.1449814126394052,0.1478703443099728,-0.06199510403916771,23483.5,2.8086347135288036e-24,0.07651405465336202,0.10903288658449097,0.09274615339463901,0.00829102370258357,0.07806691449814127,DeepSeek,gray
claude_claude-sonnet-4-5-20250929,Consequentialist,0.03611367907004769,0.13046288937412803,269,4.540052569929841,4.251980461087221e-06,0.27681189067095247,0.05947955390334572,0.32342007434944237,0.137546468401487,0.5390334572490706,0.1667490516250347,-0.1295294005820322,5726.5,1.8995912809067504e-06,0.020852366239535784,0.051746774931529266,0.036204308309816156,0.007984928002113145,0.04460966542750929,Claude,gray
